No,Codigo,Departamento,Municipio,Latitud,Longitud,Nombre Establecimiento,Direccion
17961,17-12-0096-43,PETEN,POPTUN,16.325444,-89.43441,EORM,COLONIA PIONEROS DE LA PAZ BARRIO SANTA MARIA
17962,17-09-0108-43,PETEN,SAN LUIS,16.02723,-89.433919,EORM CASERIO FLOR DE LA SELVA,CASERIO FLOR DE LA SELVA
17963,17-09-0092-43,PETEN,SAN LUIS,15.983966,-89.433111,EORM CASERIO CHINAHAPEC,CASERIO CHINAHAPEC
17964,17-12-0377-43,PETEN,POPTUN,16.359112,-89.433003,EORM,ALDEA LAS DELICIAS
17965,17-12-1159-42,PETEN,POPTUN,16.359112,-89.433003,EODP ANEXA A EORM,ALDEA LAS DELICIAS
17966,17-12-0110-45,PETEN,POPTUN,16.359023,-89.432987,INEB DE TELESECUNDARIA,BARRIO LAS DELICIAS
17967,17-08-3506-43,PETEN,DOLORES,16.675425,-89.432957,EORM,CASERIO LA UNION II
17968,17-08-0089-42,PETEN,DOLORES,16.67542,-89.432956,EODP,CASERIO LA NUEVA UNION II
17969,17-09-0116-45,PETEN,SAN LUIS,16.187529,-89.431477,INEB,BARRIO EL CRUCERO
17970,17-09-0234-43,PETEN,SAN LUIS,16.187543,-89.431441,EORM,BARRIO EL CRUCERO
17971,17-09-1218-42,PETEN,SAN LUIS,16.187543,-89.431441,EODP,BARRIO EL CRUCERO
17972,17-12-0386-43,PETEN,POPTUN,16.330702,-89.430687,EOUM,BARRIO SANTA MARIA
17973,17-12-2370-42,PETEN,POPTUN,16.330702,-89.430687,EODP,LA BALASTRERA BARRIO SANTA MARIA
17974,17-09-0123-42,PETEN,SAN LUIS,16.229559,-89.43062,EODP ANEXA A EORM,CASERIO JOVONCHE
17975,17-12-3370-42,PETEN,POPTUN,16.33014,-89.43044,EODP,5A. CALLE 3-15 ZONA 3 CALLE DEL CEMENTERIO BARRIO SANTA MARIA
17976,17-12-0098-42,PETEN,POPTUN,16.373821,-89.430382,EODP ANEXA A EORM,CASERIO LA CANOA
17977,17-12-3983-43,PETEN,POPTUN,16.373821,-89.430382,EORM,CASERIO LA CANOA
17978,17-12-0019-41,PETEN,POPTUN,16.341412,-89.430221,COPB,BARRIO JUNUGUITZ
17979,17-12-0059-43,PETEN,POPTUN,16.341412,-89.430221,EORM,BARRIO JUNUGUITZ
17980,17-09-0263-43,PETEN,SAN LUIS,16.230394,-89.430181,EORM,CASERIO JOVONCHE
17981,17-08-1070-43,PETEN,DOLORES,16.460544,-89.430043,EORM,CASERIO IXCOXOL
17982,17-09-0252-43,PETEN,SAN LUIS,16.094754,-89.429701,EORM,CASERIO BOLOCZOS
17983,17-09-0411-41,PETEN,SAN LUIS,16.094754,-89.429701,COPB ANEXO A EORM,CASERIO BOLOCZOS
17984,17-12-0020-42,PETEN,POPTUN,16.335766,-89.428682,EODP,BARRIO LAS JOYAS
17985,17-12-0029-43,PETEN,POPTUN,16.335766,-89.428682,EORM BARRIO LAS JOYAS,BARRIO LAS JOYAS
17986,17-08-2721-45,PETEN,DOLORES,16.488437,-89.427974,INEB DE TELESECUNDARIA,CASERIO BOCA DEL MONTE
17987,17-08-0146-43,PETEN,DOLORES,16.488426,-89.427966,EORM,CASERIO BOCA DEL MONTE
17988,17-08-2126-42,PETEN,DOLORES,16.488426,-89.427966,EODP ANEXA A EORM,ALDEA BOCA DEL MONTE
17989,17-09-0161-43,PETEN,SAN LUIS,15.93153,-89.427539,EORM,CASERIO TRECE CERROS
17990,17-08-0006-42,PETEN,DOLORES,16.506516,-89.427518,EODP,BARRIO EL CRUCE
17991,17-08-0033-43,PETEN,DOLORES,16.506516,-89.427518,EORM,BARRIO EL CRUCE
17992,17-09-4083-42,PETEN,SAN LUIS,16.199453,-89.426813,EODP ANEXA A EORM,CASERIO IXYUC
17993,17-09-2193-43,PETEN,SAN LUIS,16.199457,-89.42681,EORM,CASERIO IXYUC
17994,17-12-2828-42,PETEN,POPTUN,16.336243,-89.426771,CEIN -PAIN-,BARRIO LAS JOYAS
17995,17-12-3313-42,PETEN,POPTUN,16.336242,-89.426757,CEIN -PAIN-,BARRIO LAS JOYAS 2 DIA VIERNES
17996,17-12-2931-42,PETEN,POPTUN,16.330137,-89.426414,CEES LUZ DE MI VIDA,BARRIO SANTA MARIA
17997,17-12-3196-43,PETEN,POPTUN,16.330137,-89.426414,CEES LUZ EN MI VIDA,BARRIO SANTA MARIA
17998,17-12-0386-42,PETEN,POPTUN,16.32953,-89.426305,EODP,BARRIO SANTA MARIA
17999,17-08-0007-42,PETEN,DOLORES,16.490127,-89.42545,EODP,BARRIO NUEVO SAN FRANCISCO CASERIO BOCA DEL MONTE
18000,17-08-0024-43,PETEN,DOLORES,16.490127,-89.42545,EORM,BARRIO NUEVO SAN FRANCISCO CASERIO BOCA DEL MONTE
18001,17-12-3441-42,PETEN,POPTUN,16.347773,-89.424639,EODP,COLONIA EL MAESTRO
18002,17-12-3520-43,PETEN,POPTUN,16.347773,-89.424639,EORM,COLONIA EL MAESTRO
18003,17-12-0012-42,PETEN,POPTUN,16.358251,-89.424628,EODP,BARRIO LA LIBERTAD
18004,17-12-0030-43,PETEN,POPTUN,16.358251,-89.424628,EORM BARRIO LA LIBERTAD,BARRIO LA LIBERTAD
18005,17-09-0233-43,PETEN,SAN LUIS,16.180821,-89.423628,EORM,CASERIO NOCTUN
18006,17-09-3090-42,PETEN,SAN LUIS,16.180821,-89.423628,EODP ANEXA EORM,CASERIO NOCTUN
18007,17-08-2175-43,PETEN,DOLORES,16.762672,-89.422409,EORM,CASERIO EL COROZAL
18008,17-08-0020-42,PETEN,DOLORES,16.512353,-89.421907,EODP,BARRIO EL MIRADOR
18009,17-08-0022-43,PETEN,DOLORES,16.512353,-89.421907,EORM,BARRIO EL MIRADOR
18010,17-12-1156-42,PETEN,POPTUN,16.339502,-89.421877,EODP ANEXA A EORM,BARRIO EL PORVENIR
18011,17-09-0132-43,PETEN,SAN LUIS,16.246092,-89.421829,EORM,CASERIO NUEVA JERUSALEM
18012,17-08-0043-43,PETEN,DOLORES,16.55593,-89.421795,EORM,CASERIO EL NACIMIENTO
18013,17-12-0429-43,PETEN,POPTUN,16.339757,-89.421734,EORM,BARRIO EL PORVENIR
18014,17-12-2848-45,PETEN,POPTUN,16.339757,-89.421734,INEB DE TELESECUNDARIA,BARRIO PORVENIR
18015,17-09-0239-43,PETEN,SAN LUIS,16.187248,-89.421659,EORM,CASERIO LA UNION
18016,17-09-2151-42,PETEN,SAN LUIS,16.187248,-89.421659,EODP ANEXA A EORM,CASERIO LA UNION
18017,17-09-2888-43,PETEN,SAN LUIS,16.187248,-89.421659,EORM,ALDEA LA UNION
18018,17-09-2943-45,PETEN,SAN LUIS,16.187248,-89.421659,INEB DE TELESECUNDARIA,ALDEA LA UNION
18019,17-09-0302-42,PETEN,SAN LUIS,16.18717,-89.42161,EODP,CASERIO LA UNION
18020,17-08-2127-42,PETEN,DOLORES,16.683486,-89.42094,EODP ANEXA A EORM,CASERIO LA NUEVA UNION
18021,17-08-3479-45,PETEN,DOLORES,16.683742,-89.420822,"IEBC INSTITUTO BASICO POR COOPERATIVA CASERIO LA NUEVA UNION,DOLORES",CASERIO LA NUEVA UNION
18022,17-08-0148-43,PETEN,DOLORES,16.683718,-89.420808,EORM,CASERIO LA NUEVA UNION
18023,17-12-0146-42,PETEN,POPTUN,16.331016,-89.42024,EODP ANEXA A EORM,COLONIA SAN CARLOS
18024,17-12-0005-42,PETEN,POPTUN,16.315657,-89.42009,EODP,BARRIO LAS PLANTAS IXOBEL
18025,17-12-0025-43,PETEN,POPTUN,16.315657,-89.42009,"EORM BARRIO LAS PLANTAS, IXOBEL",BARRIO LAS PLANTAS IXOBEL
18026,17-12-0380-43,PETEN,POPTUN,16.272577,-89.419309,EORM,CASERIO CANCHACAN
18027,17-12-2207-42,PETEN,POPTUN,16.272577,-89.419309,EODP ANEXA A EORM,CASERIO CANCHACAN
18028,17-12-0075-45,PETEN,POPTUN,16.27248,-89.419135,INEB DE TELESECUNDARIA,CASERIO CANCHACAN
18029,17-08-0092-42,PETEN,DOLORES,16.51426,-89.41872,EODP ANEXA A EORM,BARRIO EL CENTRO
18030,17-12-0204-42,PETEN,POPTUN,16.3329,-89.417851,EODP,ZONA 2
18031,17-08-0049-45,PETEN,DOLORES,16.506299,-89.417827,INEB,BARRIO NUEVO EL CARMEN
